36	52	CI	1676	15	1863	45	1640	76	1476	+6	+39	+10	+69	+11	+85	+4	+47	−3	+41	−15	−46	692	241	237	214	348	166	178	1130	695
37	54	CD	1655	20	1782	62	1557	114	1387	+3	+16	+5	+39	+13	+89	+20	+124	+30	+177	+18	+106	547	166	225	156	226	171	150	835	641
38	58	TN	1636	24	1757	47	1616	87	1439	+3	+22	−6	−14	0	+25	−13	−41	−11	−7	+12	+86	775	337	251	187	330	229	216	1105	839
39	63	IQ	1608	23	1740	47	1622	96	1456	+5	+26	+1	+12	+12	+69	−10	−37	−12	−21	+19	+104	760	139	231	390	360	189	211	1203	707
40	67	BA	1591	20	1806	53	1626	90	1469	+2	+19	+1	+19	+12	+65	+21	+113	−18	−44	−33	−151	280	118	136	26	104	111	65	393	385
41	68	NZ	1585	29	1640	66	1499	103	1334	−1	0	−2	0	−6	−10	+7	+60	+14	+100	+7	+52	439	135	189	115	181	179	79	767	645
42	71	SA	1568	29	1735	76	1501	125	1256	−7	−24	−4	−10	−3	+6	−12	−45	−7	−7	+6	+41	835	322	151	362	396	245	194	1281	892
43	72	CV	1549	65	1579	120	1302	146	1172	0	−12	0	−12	+8	+49	−7	−30	+23	+108	+14	+53	251	80	91	80	94	97	60	267	278
44	77	HT	1532	37	1673	81	1418	129	1265	−3	−10	−2	−10	−6	−21	+6	+39	−9	−28	+8	+34	561	181	196	184	246	197	118	957	759
45	79	ZA	1517	7	1847	32	1707	99	1448	−1	−11	−2	−13	−19	−81	−13	−54	+5	+39	−17	−64	525	276	161	88	231	141	153	719	542
46	82	GH	1503	10	1877	42	1651	101	1424	−2	−6	−2	−6	+10	+52	0	+3	−26	−102	−34	−132	778	247	297	234	370	213	195	1247	822
47	90	CW	1436	26	1618	97	1381	188	1011	−3	−30	−3	−30	+38	+113	+34	+99	+6	+3	+85	+311	498	173	176	149	201	173	124	879	767
48	96	QA	1423	26	1771	93	1416	164	965	−4	−2	−13	−63	−13	−75	−45	−224	−50	−221	−22	−115	698	328	147	223	289	233	176	993	826
